0001, 62.00222222222223
0002, 50.5524597300827
0003, 65.4065170940171
0004, 52.12121212121211
0005, 71.62464891585212
0006, 70.30555555555554
0007, 62.00222222222223
0008, 54.854272778721004
0009, 52.121212121212125
0010, 62.00222222222224
0011, 62.00222222222223
0012, 40.27637130801688
0013, 65.4065170940171
0014, 64.12098393574297
0015, 62.00222222222223
0016, 52.66796290756804
0017, 54.854272778721004
0018, 52.121212121212125
0019, 62.00222222222223
0020, 45.84123401053425
0021, 64.53181313519515
0022, 43.09826243259437
0023, 49.04113574552761
0024, 62.00222222222223
0025, 40.27637130801688
0026, 52.731457206385016
0027, 72.32024793388429
0028, 62.00222222222223
0029, 62.00222222222223
0030, 64.12098393574297
0031, 51.66571642910728
0032, 62.00222222222224
0033, 49.46670469128761
0034, 68.48787878787878
0035, 62.0022222222222
0036, 63.25933249445744
0037, 52.121212121212125
0038, 64.02876578082663
0039, 64.12098393574297
0040, 49.02578981302385
0041, 41.29393500310494
0042, 54.854272778721004
0043, 46.24052287581699
0044, 62.0022222222222
0045, 54.257700770076994
0046, 45.52155611039131
0047, 62.00222222222223
0048, 52.020899439341534
0049, 57.70224749526129
0050, 62.0022222222222
